epoch_idx	precision@20	recall@20	ndcg@20	precision@40	recall@40	ndcg@40	precision@60	recall@60	ndcg@60	precision@80	recall@80	ndcg@80	precision@100	recall@100	ndcg@100
10.0	0.0031736528035253286	0.024089191108942032	0.010439363215059148	0.0027694611344486475	0.03916385397315025	0.014491223035455017	0.0026596805546432734	0.050231240689754486	0.017361772924470817	0.002586078131571412	0.06105213239789009	0.019945776142608982	0.002449101535603404	0.07202433794736862	0.022217743864918347
20.0	0.017485029995441437	0.11214568465948105	0.06379493214681856	0.015082335099577904	0.1813553422689438	0.08334600464338898	0.013507984578609467	0.228257417678833	0.09576127603735517	0.012249250896275043	0.2635497450828552	0.10459361096642324	0.011520957574248314	0.2976379096508026	0.11278304094380524
30.0	0.06345808506011963	0.27909886837005615	0.19440275951462918	0.04585329070687294	0.3800905644893646	0.2260497618058335	0.03714071959257126	0.4441487491130829	0.24497432860012663	0.031511977314949036	0.4938233196735382	0.2580840847472859	0.027694610878825188	0.5336435437202454	0.2682461714801024
40.0	0.09773952513933182	0.3835917115211487	0.2823397404210405	0.06635478883981705	0.49965134263038635	0.3181414002692	0.051581837236881256	0.5657079815864563	0.33792317204224237	0.04243263602256775	0.611639142036438	0.3505042392811424	0.03626347333192825	0.649321436882019	0.36005351998895485
50.0	0.11203593015670776	0.43736740946769714	0.3238780016172047	0.0758233517408371	0.55718994140625	0.3615323624502579	0.058233533054590225	0.6275725364685059	0.38245283159081767	0.047462571412324905	0.6731157898902893	0.39507033875725833	0.040098801255226135	0.7066798210144043	0.4036691701836331
60.0	0.11755988746881485	0.46328216791152954	0.343653899336632	0.08055388927459717	0.5926311016082764	0.3846823315088437	0.061826348304748535	0.6643612384796143	0.4063038087373881	0.050213322043418884	0.7075223326683044	0.41859098547900303	0.04221257194876671	0.7374820709228516	0.4264246413567808
70.0	0.12080838531255722	0.479196161031723	0.35641457175706664	0.08320359885692596	0.6145000457763672	0.3992851439200653	0.06407684832811356	0.6886357069015503	0.4218824453687647	0.051852546632289886	0.7302349209785461	0.43376443909130014	0.043643709272146225	0.7602154612541199	0.44181827124376893
80.0	0.12291915714740753	0.4927794337272644	0.36530489655911413	0.08501497656106949	0.6302876472473145	0.4092222163264147	0.06544411182403564	0.7035990953445435	0.4317914162861179	0.05291541665792465	0.7440301179885864	0.4435705922353349	0.04462874308228493	0.7753310799598694	0.4519730236229946
90.0	0.12444611638784409	0.5030420422554016	0.3721679861178916	0.08617515116930008	0.642060399055481	0.41671806541498035	0.06629741191864014	0.7127012610435486	0.43895072207244995	0.0537724569439888	0.7554972767829895	0.45132326418635393	0.04545508697628975	0.7909868359565735	0.46054115197404344
100.0	0.12544910609722137	0.5105466246604919	0.37727943544597753	0.08723054081201553	0.6508961319923401	0.4225711361828119	0.06690619140863419	0.7205261588096619	0.44442646207385567	0.054476048797369	0.7663276195526123	0.4575974096436793	0.046011973172426224	0.7997876405715942	0.4665085542816172
